Category,Game,Items,Item Details,game_devices,game_regions,game_servers,game_series,game_unique_selling_propositions,game_ranks,game_dependent_items
,CSGO,,,,,,,,,
,PUBG Mobile,,,,,,,,,
,Fallout 76,Device,Device:,"PC,Playstation,Xbox ",,,,,,
,Black Desert Online,"Device,Region",Device:  || Region:,"PC,Playstation,Xbox","EU,Japan, Korea, MENA,NA,Russia,SEA,South America",,,,,
,GTA 5,Device,Device:,"PC, Playstation 4, Playstation 5, Xbox One, Xbox Series X/S",,,,,,
,Overwatch 2,Device,Device:,"PC,Playstation,Xbox ",,,,,,
,Summoners War,Region,Region:,,"Asia,EU, Global, Japan, Korea",,,,,
,Elder Scrolls Online,"Device,Region",Device:  ||Region:,"PC,Playstation,Xbox","EU, NA",,,,,
,Valorant,"Rank,Region",Rank: ||Region:,,"AP,BR,EU/TR/MENA/CIS,KR,LATAM,NA",,,,"Bronze, Diamond+,Gold,Iron,Platinum,Silver,Unassigned,Unranked",
,Apex Legends,Device,Device:,"PC,Playstation,Xbox ",,,,,,
,ARK: Survival Evolved,Device,Device:,"PC,Playstation,Xbox ",,,,,,
,Call of Duty,Device,Device:,"PC,Playstation,Xbox ",,,,,,
,New World,Region,Region:,,"AP Southeast, EU Central, SA East, US East,US West",,,,,
,Rust,Device,Device:,"PC,Playstation,Xbox ",,,,,,
,Genshin Impact,Region,Region:,,"Asia, EU, NA, SAR",,,,,
,EVE Online,,,,,,,,,
,EVE Echoes,Device,Device:,"Android, Ios",,,,,,
,Steam,,,,,,,,,
,Dota 2,,,,,,,,,
,Destiny 2,Device,Device:,"PC,Playstation,Xbox ",,,,,,
,PlayerUnknown's Battlegrounds,,,,,,,,,
,Garena Free Fire,Device,Device:,"Android, Ios",,,,,,
,Dead By Daylight,Device,Device:,"PC,Playstation,Xbox ",,,,,,
,Rainbow Six Siege,Device,Device:,"PC,Playstation,Xbox ",,,,,,
,Lost Ark,Dependent,"Region:EU Central, EU West, Korea, Russia, SA, US East,US West || Server:Different",,,,,,,"[{""item_type"":""game_regions"",""item_id"":[""EU Central"",""EU West"",""Korea"",""Russia"",""SA"",""US East"",""US West""],""is_dependent"":true,""dependent_to"":""game_servers"",""dependencies"":[{""parent_id"":""EU Central"",""item_id"":[""Antares"",""Armen"",""Asta"",""Calvasus"",""Evergrace"",""Ezrebet"",""Kadan"",""Lazenith"",""Mokoko"",""Neria"",""Slen"",""Thirain"",""Trixion"",""Wei"",""Zinnervale""]},{""parent_id"":""EU West"",""item_id"":[""Moonkeep"",""Punika"",""Rethramis"",""Tortoyk""]},{""parent_id"":""Korea"",""item_id"":[""Abrelshud"",""Aman"",""Cardan"",""Carmine"",""Cazeroth"",""Cillian"",""Lupeon"",""Ninab""]},{""parent_id"":""Russia"",""item_id"":[""Alderan"",""Kratos""]},{""parent_id"":""SA"",""item_id"":[""Agaton"",""Arcturus"",""Gienah"",""Kazeros"",""Vern""]},{""parent_id"":""US East"",""item_id"":[""Adrinne"",""Aldebaran"",""Avesta"",""Azena"",""Danube"",""Elzowin"",""Galatur"",""Karta"",""Kharmine"",""Ladon"",""Regulus"",""Sasha"",""Una"",""Vykas"",""Zosma""]},{""parent_id"":""US West"",""item_id"":[""Akkan"",""Bergstrom"",""Enviska"",""Mari"",""Rohendel"",""Shandi"",""Valtan""]}]}]"
,Clash Royale,,,,,,,,,
,League of Legends: Wild Rift,Device,Device:,"Android, Ios",,,,,,
,Red Dead Redemption 2,Device,Device:,"PC, Playstation, Xbox",,,,,,
,Mobile Legends,Device,Device:,"Android, Ios",,,,,,
,Brawl Stars,,,,,,,,,
,Pokemon Go,,,,,,,,,
,Call of Duty Mobile,Device,Device:,"Android,Android & Ios, Ios",,,,,,
,Minecraft,,,,,,,,,
,Origin,,,,,,,,,
,Ubisoft Connect,,,,,,,,,
,Final Fantasy XIV,Dependent,"Region:EU, JP, NA, OC || Server:Different",,,,,,,"[{""item_type"":""game_regions"",""item_id"":[""EU"",""JP"",""NA"",""OC""],""is_dependent"":true,""dependent_to"":""game_servers"",""dependencies"":[{""parent_id"":""EU"",""item_id"":[""Alpha"",""Cerberus"",""Lich"",""Louisoix"",""Moogle"",""Odin"",""Omega"",""Phantom"",""Phoenix"",""Ragnarok"",""Raiden"",""Sagittarius"",""Shiva"",""Spriggan"",""Twintania"",""Zodiark""]},{""parent_id"":""JP"",""item_id"":[""Aegis"",""Alexander"",""Anima"",""Asura"",""Atomos"",""Bahamut"",""Belias"",""Carbuncle"",""Chocobo"",""Durandal"",""Fenrir"",""Garuda"",""Gungnir"",""Hades"",""Ifrit"",""Ixion"",""Kujata"",""Mandragora"",""Masamune"",""Pandaemonium"",""Ramuh"",""Ridill"",""Shinryu"",""Tiamat"",""Titan"",""Tonberry"",""Typhon"",""Ultima"",""Unicorn"",""Valefor"",""Yojimbo"",""Zeromus""]},{""parent_id"":""NA"",""item_id"":[""Adamantoise"",""Balmung"",""Behemoth"",""Brynhildr"",""Cactuar"",""Coeurl"",""Diabolos"",""Excalibur"",""Exodus"",""Faerie"",""Famfrit"",""Gilgamesh"",""Goblin"",""Halicarnassus"",""Hyperion"",""Jenova"",""Lamia"",""Leviathan"",""Maduin"",""Malboro"",""Marilith"",""Mateus"",""Midgardsormr"",""Sargatanas"",""Seraph"",""Siren"",""Ultros"",""Zalera""]},{""parent_id"":""OC"",""item_id"":[""Bismarck"",""Ravana"",""Sephirot"",""Sophia"",""Zurvan""]}]}]"
,Roblox,,,,,,,,,
,Valheim,,,,,,,,,
,Raid: Shadow Legends,,,,,,,,,
,Lords Mobile,Device,Device:,"Android, Ios",,,,,,
,DayZ,Device,Device:,"PC, Playstation, Xbox",,,,,,
,8 Ball Pool,,,,,,,,,
,War Thunder,Region,Region:,,"EU, RU, SA, US",,,,,
,AQWorlds,,,,,,,,,
,Sea of Thieves,Device,Device:,"PC, Xbox",,,,,,
,RuneScape 3,,,,,,,,,
,Rise of Kingdoms,Device,Device:,"Android, Ios",,,,,,
,Diablo 2: Resurrected,Region,Region:,,"EU, US",,,,,
,FIFA,"Serie,Device",Game Series: || Device: ,"PC,Playstation,Xbox",,,"FIFA 22, FIFA 23",,,
